22.25,22.45,24,24.2,7.5,22.7
21.65,21.95,27.65,27.95,7.5,25.7
22.1,19.15,20.35,17.4,6,18.4
18.05,17.5,20.3,19.75,5.25,20.25
25.5,23,23.75,21.25,5.5,20.5
24,22.55,22.75,21.3,7,21.8
21.9,21.1,27.4,26.6,5.75,22.35
21.05,20.6,24.8,24.35,5.5,21.1
19.9,22.4,17.15,19.65,8,24.4
8.4,17.8,8.4,17.8,21,26.3
22.25,19.5,21.25,18.5,7.5,20.5
22.1,20.4,24.6,22.9,6.5,21.9
24.65,23.75,21.4,20.5,5.75,21.75
19.15,15.45,24.65,20.95,3.25,16.45
22.15,20.1,20.15,18.1,7.25,19.85
20.75,16.65,25.75,21.65,4.25,17.65
23.6,20.2,18.1,14.7,6,18.2
22.25,22.55,23.5,23.8,7.5,23.3
7.8,14.2,7.8,14.2,18.25,21.7
7.8,17.4,7.8,17.4,22.5,25.65
17.1,22.15,16.6,21.65,4.25,20.65
18.6,25.5,13.35,20.25,7,24
8.2,18,8.2,18,21.25,25
8.6,18.6,8.6,18.6,21.75,25.6
9,18.6,9,18.6,23.5,26.85
21.65,25.7,19.9,23.95,7.5,25.7
7.6,16.6,7.6,16.6,19.75,24.35
8.6,18.4,8.6,18.4,23,26.65
8.8,18.8,8.8,18.8,24.5,26.8
7.8,17.8,7.8,17.8,24.5,26.3
7,16.6,7,16.6,21,24.35
19.1,24.85,16.6,22.35,6.5,25.1
8.2,17.8,8.2,17.8,22.25,26.3
8.2,18,8.2,18,25.25,26
22.2,23.75,24.95,26.5,7.75,26.75
8.2,18,8.2,18,22,25.5
8.6,18.4,8.6,18.4,26.25,26.9
8.4,18.4,8.4,18.4,24,26.9
8.6,18.4,8.6,18.4,21.5,26.15
8.6,18.2,8.6,18.2,21.25,26.2
7.4,17,7.4,17,23.75,25.25
8.2,18,8.2,18,22.25,25.75
21.7,25.75,21.2,25.25,6.5,24.5
7.8,17.6,7.8,17.6,21.75,26.1
7.2,16.6,7.2,16.6,23.75,24.85
8.6,18.2,8.6,18.2,20.75,25.7
9,18.8,9,18.8,23.5,26.8
7.6,16.6,7.6,16.6,16.75,23.1
8.8,18.8,8.8,18.8,18.5,26.3
7.8,17.6,7.8,17.6,20.75,25.35
8,17.8,8,17.8,22.5,25.55
8.4,18.2,8.4,18.2,22.5,26.7
24.15,26.45,21.65,23.95,7.25,25.45
23.45,25.55,19.95,22.05,7,24.8
8.2,17.6,8.2,17.6,19.5,24.6
